Date,GOOGL,EBAY,FB,YHOO,WU,VRSN,NFLX,TSS,FIS,ADP,VALUE
2016/2/17,731.969971,23.219999,105.199997,29.370001,18.33511,81.449997,94.760002,41.758522,59.293497,84.800995,1270.158091
2016/2/18,717.51001,23.530001,103.470001,29.42,18.057455,80.620003,90.489998,41.479135,58.925026,84.383601,1247.88523
2016/2/19,722.109985,23.809999,104.57,30.040001,18.037624,80.669998,89.230003,42.69647,59.462791,85.029565,1255.656436
2016/2/22,729.049988,24.24,107.160004,31.17,18.2062,83.989998,91.93,43.055683,59.741635,85.864361,1274.407869
2016/2/23,717.289978,23.620001,105.459999,30.67,17.799634,82.489998,89.120003,42.417079,58.735814,84.323968,1251.926474
2016/2/24,720.900024,23.959999,106.879997,30.950001,17.978125,83.199997,91.610001,43.60448,58.934987,84.731429,1262.74904
2016/2/25,729.119995,24.18,108.07,31.360001,18.196283,84.330002,94.529999,44.372798,59.791427,85.387334,1279.337839
2016/2/26,724.859985,24.18,107.919998,31.370001,18.30536,85.879997,94.790001,44.382774,59.243705,85.128951,1276.060772
2016/2/29,717.219971,23.799999,106.919998,31.790001,18.107037,84.489998,93.410004,43.484744,58.008837,84.164963,1261.395552
2016/3/1,742.169983,24.25,109.82,32.799999,18.464022,87.379997,98.300003,44.562381,59.751592,86.232063,1303.73004
2016/3/2,739.47998,23.719999,109.949997,32.91,18.30536,87.540001,97.610001,44.552405,59.671921,85.119011,1298.858675
2016/3/3,731.590027,23.940001,109.580002,32.880001,18.930084,88.639999,97.93,45.759759,60.080227,85.119011,1294.449111
2016/3/4,730.219971,24.41,108.389999,33.860001,19.088744,89.139999,101.580002,45.310742,60.55824,85.655664,1298.213362
2016/3/7,712.799988,24.26,105.730003,33.959999,19.356482,87.989998,95.489998,44.732011,59.821302,85.556278,1269.696059
2016/3/8,713.530029,24.07,105.93,32.93,18.949917,87.110001,96.230003,43.784087,58.934987,84.959999,1266.429023
2016/3/9,725.409973,23.950001,107.510002,33.509998,19.058994,86.959999,98,44.382774,59.771509,85.720001,1284.273251
2016/3/10,732.169983,23.690001,107.32,32.82,18.602849,87.18,97.360001,44.063474,61.305134,85.199997,1289.711439
2016/3/11,744.869995,24.02,109.410004,33.810001,18.949917,88.260002,97.660004,44.692098,62.549959,87.269997,1311.491977
