Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
27.03.12;14.7478;15.1979;16.5259;16.5811;19.0485;17.8458
28.03.12;15.1816;15.6247;16.8647;16.6129;19.0437;17.812
29.03.12;16.764;16.8998;18.0333;17.1475;19.6298;18.1778
30.03.12;14.783;15.7611;16.9042;16.6847;19.1551;17.9174
02.04.12;13.7148;14.6415;15.9127;16.2127;18.5534;17.5208
03.04.12;13.649;14.5784;15.8791;16.2076;18.4204;17.397
04.04.12;16.5949;16.5295;17.6193;16.9773;19.0311;17.6925
05.04.12;15.5059;16.3484;17.5587;16.7998;18.9718;17.588
06.04.12;15.5059;16.3484;17.5587;16.7998;18.9718;17.588
09.04.12;15.5059;16.3484;17.5587;16.7998;18.9718;17.588
10.04.12;19.7511;18.834;19.3912;17.7599;19.9343;18.1445
11.04.12;19.2019;18.8188;19.4752;17.864;20.1403;18.2173
12.04.12;16.566;17.6276;18.6712;17.8397;19.7981;18.0536
13.04.12;17.5397;18.0984;18.9537;18.0945;20.2336;18.0208
16.04.12;18.3096;17.7611;18.6672;17.9131;19.9803;18.0006
17.04.12;18.0215;16.5306;17.9231;17.5077;19.5402;17.8524
18.04.12;18.2566;16.9755;18.2247;17.658;19.6536;17.834
19.04.12;18.2566;16.3311;17.7379;17.4783;19.423;17.7903
20.04.12;18.2566;14.9878;16.5952;17.0435;19.1245;17.5333
23.04.12;17.3513;18.1215;16.5952;17.8012;19.8399;17.8576
24.04.12;16.5213;17.6735;17.2843;17.5547;19.5717;17.7631
25.04.12;15.7075;17.0927;17.0776;17.1739;19.2455;17.5874
26.04.12;15.5191;16.9999;17.0691;17.2511;19.3519;17.6009
27.04.12;14.534;16.0559;16.227;16.718;18.8905;17.3047
30.04.12;14.5757;15.9858;16.238;16.7194;18.8612;17.3511
01.05.12;14.5757;15.9858;16.238;16.7194;18.8612;17.3511
02.05.12;15.0046;16.1016;16.3039;16.6895;18.8518;17.3631
03.05.12;15.1261;16.0635;16.3316;16.7359;18.8169;17.3064
04.05.12;15.9951;16.6344;16.7694;16.9121;18.9864;17.3847
07.05.12;16.2894;16.6897;16.7195;16.8483;18.8792;17.2947
08.05.12;17.502;17.6453;17.4292;17.3979;19.401;17.5683
09.05.12;18.0361;18.2726;18.1075;17.8214;19.859;17.7351
10.05.12;16.7143;17.7148;17.9363;17.7644;19.6547;17.4927
11.05.12;15.3778;17.2933;17.632;17.6544;19.4508;17.3759
14.05.12;21.1979;19.1743;18.9166;18.4512;20.2838;17.4272
15.05.12;20.4514;18.7776;18.6994;18.3921;20.1239;17.5658
16.05.12;20.4514;18.3486;18.7496;18.3459;20.1095;17.4403
17.05.12;20.4514;18.3486;18.7496;18.3459;20.1095;17.4403
18.05.12;20.4514;18.2374;19.2332;19.2097;20.8328;17.3643
21.05.12;17.7949;19.0507;19.2332;19.0715;20.9303;17.5676
22.05.12;15.9467;17.5852;18.5915;18.2069;20.0572;17.2394
23.05.12;18.2428;19.2079;18.6014;19.1864;20.9496;17.5362
24.05.12;17.08;18.5724;18.6721;18.8892;20.6649;17.5596
25.05.12;16.2352;18.1907;18.5065;18.6675;20.5174;17.4521
28.05.12;16.2352;18.1907;18.5065;18.6675;20.5174;17.4521
